mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
10/2014,10,2014,Béns de consum,BCO,Altres béns de consum,ACO,1585.1,1589
09/2014,9,2014,Béns de consum,BCO,Altres béns de consum,ACO,1443.1,1525.1
08/2014,8,2014,Béns de consum,BCO,Altres béns de consum,ACO,954.7,1202.4
07/2014,7,2014,Béns de consum,BCO,Altres béns de consum,ACO,1625.8,1603.9
06/2014,6,2014,Béns de consum,BCO,Altres béns de consum,ACO,1328.3,1424.1
05/2014,5,2014,Béns de consum,BCO,Altres béns de consum,ACO,1341.7,1382
04/2014,4,2014,Béns de consum,BCO,Altres béns de consum,ACO,1287.1,1330.6
03/2014,3,2014,Béns de consum,BCO,Altres béns de consum,ACO,1380.9,1398.3
02/2014,2,2014,Béns de consum,BCO,Altres béns de consum,ACO,1341.5,1360.3
01/2014,1,2014,Béns de consum,BCO,Altres béns de consum,ACO,1237.3,1314.6
12/2013,12,2013,Béns de consum,BCO,Altres béns de consum,ACO,1141.3,1255.7
11/2013,11,2013,Béns de consum,BCO,Altres béns de consum,ACO,1226.1,1278.6
10/2013,10,2013,Béns de consum,BCO,Altres béns de consum,ACO,1412,1357.1
09/2013,9,2013,Béns de consum,BCO,Altres béns de consum,ACO,1169.3,1342.4
08/2013,8,2013,Béns de consum,BCO,Altres béns de consum,ACO,913.6,1119.6
07/2013,7,2013,Béns de consum,BCO,Altres béns de consum,ACO,1419.7,1316.6
06/2013,6,2013,Béns de consum,BCO,Altres béns de consum,ACO,1200.7,1202.4
05/2013,5,2013,Béns de consum,BCO,Altres béns de consum,ACO,1223.4,1223
04/2013,4,2013,Béns de consum,BCO,Altres béns de consum,ACO,1309.7,1209.1
03/2013,3,2013,Béns de consum,BCO,Altres béns de consum,ACO,1237.3,1181.5
02/2013,2,2013,Béns de consum,BCO,Altres béns de consum,ACO,1308.1,1166.7
01/2013,1,2013,Béns de consum,BCO,Altres béns de consum,ACO,1127.1,1164.5
12/2012,12,2012,Béns de consum,BCO,Altres béns de consum,ACO,1029.9,1132.7
11/2012,11,2012,Béns de consum,BCO,Altres béns de consum,ACO,1161.9,1196.2
10/2012,10,2012,Béns de consum,BCO,Altres béns de consum,ACO,1308.6,1275.2
09/2012,9,2012,Béns de consum,BCO,Altres béns de consum,ACO,1131.8,1153.8
08/2012,8,2012,Béns de consum,BCO,Altres béns de consum,ACO,871.6,1152
07/2012,7,2012,Béns de consum,BCO,Altres béns de consum,ACO,1332.1,1325.1
06/2012,6,2012,Béns de consum,BCO,Altres béns de consum,ACO,1322.4,1156
05/2012,5,2012,Béns de consum,BCO,Altres béns de consum,ACO,1194.4,1185.1
04/2012,4,2012,Béns de consum,BCO,Altres béns de consum,ACO,1133.7,1115.1
03/2012,3,2012,Béns de consum,BCO,Altres béns de consum,ACO,1302.2,2028.8
02/2012,2,2012,Béns de consum,BCO,Altres béns de consum,ACO,1268.9,1254.4
01/2012,1,2012,Béns de consum,BCO,Altres béns de consum,ACO,1061.8,1266.2
12/2011,12,2011,Béns de consum,BCO,Altres béns de consum,ACO,890.5,1178.3
11/2011,11,2011,Béns de consum,BCO,Altres béns de consum,ACO,1182.8,1356.5
10/2011,10,2011,Béns de consum,BCO,Altres béns de consum,ACO,1106.1,1261.1
09/2011,9,2011,Béns de consum,BCO,Altres béns de consum,ACO,1288.3,1379.5
08/2011,8,2011,Béns de consum,BCO,Altres béns de consum,ACO,753.7,1305.5
07/2011,7,2011,Béns de consum,BCO,Altres béns de consum,ACO,1229.3,1316.5
06/2011,6,2011,Béns de consum,BCO,Altres béns de consum,ACO,1069.3,1304.3
05/2011,5,2011,Béns de consum,BCO,Altres béns de consum,ACO,1027.9,1301.1
04/2011,4,2011,Béns de consum,BCO,Altres béns de consum,ACO,935.7,1424
03/2011,3,2011,Béns de consum,BCO,Altres béns de consum,ACO,1324.5,1764.3
02/2011,2,2011,Béns de consum,BCO,Altres béns de consum,ACO,1132.3,1437.3
01/2011,1,2011,Béns de consum,BCO,Altres béns de consum,ACO,948,1305.8
12/2010,12,2010,Béns de consum,BCO,Altres béns de consum,ACO,849.8,1315.9
11/2010,11,2010,Béns de consum,BCO,Altres béns de consum,ACO,1141.1,1444.6
10/2010,10,2010,Béns de consum,BCO,Altres béns de consum,ACO,1118,1258.9
09/2010,9,2010,Béns de consum,BCO,Altres béns de consum,ACO,1034.5,1265.8
08/2010,8,2010,Béns de consum,BCO,Altres béns de consum,ACO,670.7,1090.7
07/2010,7,2010,Béns de consum,BCO,Altres béns de consum,ACO,1081.9,1305.2
06/2010,6,2010,Béns de consum,BCO,Altres béns de consum,ACO,982.9,1391.9
05/2010,5,2010,Béns de consum,BCO,Altres béns de consum,ACO,887.8,1296.9
04/2010,4,2010,Béns de consum,BCO,Altres béns de consum,ACO,858.7,1322.9
03/2010,3,2010,Béns de consum,BCO,Altres béns de consum,ACO,1128.8,1396.6
02/2010,2,2010,Béns de consum,BCO,Altres béns de consum,ACO,978.2,1107.8
01/2010,1,2010,Béns de consum,BCO,Altres béns de consum,ACO,766.2,1137.3
12/2009,12,2009,Béns de consum,BCO,Altres béns de consum,ACO,902.6,1208.9
11/2009,11,2009,Béns de consum,BCO,Altres béns de consum,ACO,1029.6,1296.5
10/2009,10,2009,Béns de consum,BCO,Altres béns de consum,ACO,1139.7,1410.8
09/2009,9,2009,Béns de consum,BCO,Altres béns de consum,ACO,1143.8,1434
08/2009,8,2009,Béns de consum,BCO,Altres béns de consum,ACO,616.8,1081.6
07/2009,7,2009,Béns de consum,BCO,Altres béns de consum,ACO,1233,1254.7
06/2009,6,2009,Béns de consum,BCO,Altres béns de consum,ACO,964.9,1202.1
05/2009,5,2009,Béns de consum,BCO,Altres béns de consum,ACO,1022.4,982.1
04/2009,4,2009,Béns de consum,BCO,Altres béns de consum,ACO,1028.8,1078.3
03/2009,3,2009,Béns de consum,BCO,Altres béns de consum,ACO,1071.6,1295.3
02/2009,2,2009,Béns de consum,BCO,Altres béns de consum,ACO,976.1,1214.9
01/2009,1,2009,Béns de consum,BCO,Altres béns de consum,ACO,810.8,1152.9
12/2008,12,2008,Béns de consum,BCO,Altres béns de consum,ACO,935.7,1328.4
11/2008,11,2008,Béns de consum,BCO,Altres béns de consum,ACO,1160.6,1298.6
10/2008,10,2008,Béns de consum,BCO,Altres béns de consum,ACO,1374.6,2029.7
